TITLE		
DATA TYPE		
ORIGIN	JASCO	
OWNER		
DATE	16/04/28	
TIME	14:54:17	
SPECTROMETER/DATA SYSTEM	"JASCO Corp., J-810, Rev. 1.00"	
RESOLUTION		
DELTAX	-0.2	
XUNITS	NANOMETERS	
YUNITS	CD[mdeg]	
Y2UNITS	HT[V]	
Y3UNITS	External[V]	
FIRSTX	350	
LASTX	240	
NPOINTS	551	
FIRSTY	-1.63827	
MAXY	6.76585	
MINY	-91.55531	
XYDATA		
350	-1.63827	363.665
349.8	-1.71623	363.308
349.6	-1.66557	362.945
349.4	-1.63488	362.595
349.2	-1.61354	362.246
349	-1.61295	361.908
348.8	-1.63461	361.568
348.6	-1.5938	361.22
348.4	-1.5773	360.893
348.2	-1.48001	360.541
348	-1.43489	360.19
347.8	-1.41424	359.855
347.6	-1.46611	359.506
347.4	-1.44221	359.154
347.2	-1.34336	358.805
347	-1.26352	358.462
346.8	-1.21941	358.108
346.6	-1.18711	357.746
346.4	-1.30359	357.406
346.2	-1.28858	357.056
346	-1.26392	356.696
345.8	-1.19979	356.346
345.6	-1.1942	356.013
345.4	-1.23629	355.675
345.2	-1.24225	355.328
345	-1.27729	354.988
344.8	-1.2472	354.645
344.6	-1.29358	354.282
344.4	-1.19026	353.937
344.2	-1.18676	353.581
344	-1.18817	353.223
343.8	-1.12569	352.854
343.6	-1.06649	352.511
343.4	-1.05139	352.168
343.2	-0.965586	351.826
343	-0.838145	351.493
342.8	-0.885279	351.157
342.6	-0.892322	350.798
342.4	-0.845545	350.451
342.2	-0.857416	350.127
342	-0.864058	349.789
341.8	-0.856433	349.445
341.6	-0.83485	349.108
341.4	-0.814966	348.769
341.2	-0.808218	348.436
341	-0.763853	348.124
340.8	-0.755877	347.81
340.6	-0.779546	347.475
340.4	-0.761419	347.146
340.2	-0.767634	346.819
340	-0.742647	346.489
339.8	-0.748308	346.165
339.6	-0.764486	345.825
339.4	-0.738088	345.5
339.2	-0.705614	345.161
339	-0.710832	344.819
338.8	-0.685499	344.491
338.6	-0.604096	344.16
338.4	-0.521857	343.82
338.2	-0.510112	343.469
338	-0.536035	343.126
337.8	-0.512768	342.798
337.6	-0.553736	342.467
337.4	-0.573364	342.144
337.2	-0.555511	341.827
337	-0.66136	341.497
336.8	-0.81724	341.176
336.6	-0.848647	340.855
336.4	-0.906798	340.541
336.2	-0.824132	340.217
336	-0.762366	339.901
335.8	-0.733842	339.588
335.6	-0.74073	339.271
335.4	-0.676925	338.965
335.2	-0.606098	338.655
335	-0.52418	338.337
334.8	-0.431967	338.017
334.6	-0.399811	337.709
334.4	-0.372439	337.395
334.2	-0.325682	337.102
334	-0.176828	336.79
333.8	-0.0868678	336.495
333.6	-0.0374975	336.179
333.4	0.0307856	335.892
333.2	0.0423096	335.604
333	0.0377151	335.311
332.8	0.0296341	335.029
332.6	0.013298	334.736
332.4	-0.040127	334.443
332.2	-0.102462	334.146
332	-0.0879562	333.856
331.8	-0.0147029	333.564
331.6	-0.0135091	333.279
331.4	0.0474904	332.993
331.2	0.0678507	332.697
331	0.0534088	332.395
330.8	0.023793	332.119
330.6	-0.0726939	331.836
330.4	-0.118635	331.566
330.2	-0.172389	331.288
330	-0.202879	331.006
329.8	-0.229625	330.731
329.6	-0.255778	330.455
329.4	-0.253346	330.195
329.2	-0.223967	329.918
329	-0.114939	329.646
328.8	-0.0382894	329.366
328.6	-0.0134455	329.091
328.4	-0.0473938	328.839
328.2	-0.0999084	328.581
328	-0.121037	328.314
327.8	-0.127095	328.054
327.6	-0.125931	327.783
327.4	-0.116591	327.523
327.2	-0.155331	327.263
327	-0.14006	327.006
326.8	-0.072407	326.755
326.6	-0.000848905	326.496
326.4	0.0331884	326.252
326.2	0.0905457	326.009
326	0.163876	325.778
325.8	0.132951	325.534
325.6	0.202178	325.296
325.4	0.206317	325.059
325.2	0.188897	324.814
325	0.177819	324.57
324.8	0.188886	324.332
324.6	0.193393	324.076
324.4	0.144218	323.822
324.2	0.140638	323.578
324	0.0770615	323.329
323.8	0.0614126	323.06
323.6	0.135121	322.811
323.4	0.15651	322.551
323.2	0.205601	322.294
323	0.223921	322.044
322.8	0.284662	321.803
322.6	0.357988	321.569
322.4	0.429693	321.348
322.2	0.496507	321.127
322	0.49965	320.92
321.8	0.482087	320.726
321.6	0.507915	320.535
321.4	0.511753	320.355
321.2	0.49496	320.187
321	0.452582	320.013
320.8	0.444999	319.846
320.6	0.452889	319.685
320.4	0.421881	319.523
320.2	0.367283	319.352
320	0.373908	319.178
319.8	0.336793	319.011
319.6	0.395201	318.849
319.4	0.428003	318.677
319.2	0.441625	318.515
319	0.409974	318.337
318.8	0.408888	318.163
318.6	0.441463	317.997
318.4	0.449084	317.839
318.2	0.479179	317.675
318	0.488489	317.503
317.8	0.497665	317.34
317.6	0.493053	317.173
317.4	0.469842	317.009
317.2	0.484971	316.856
317	0.479421	316.703
316.8	0.505491	316.554
316.6	0.51629	316.405
316.4	0.504114	316.266
316.2	0.495415	316.122
316	0.524052	315.982
315.8	0.557687	315.844
315.6	0.611113	315.717
315.4	0.681434	315.589
315.2	0.732054	315.449
315	0.742738	315.314
314.8	0.791841	315.188
314.6	0.790858	315.048
314.4	0.754497	314.925
314.2	0.786557	314.812
314	0.823155	314.693
313.8	0.79888	314.554
313.6	0.833436	314.433
313.4	0.827046	314.304
313.2	0.797835	314.178
313	0.761497	314.059
312.8	0.761077	313.94
312.6	0.746548	313.824
312.4	0.75622	313.705
312.2	0.781908	313.611
312	0.804378	313.517
311.8	0.81592	313.442
311.6	0.850095	313.381
311.4	0.902341	313.318
311.2	0.960723	313.268
311	1.04515	313.234
310.8	1.0264	313.206
310.6	1.03367	313.175
310.4	1.03217	313.16
310.2	1.01475	313.145
310	1.02628	313.136
309.8	1.06341	313.117
309.6	1.08941	313.098
309.4	1.03212	313.071
309.2	1.05373	313.043
309	1.10682	313.025
308.8	1.07282	313.012
308.6	1.07613	312.999
308.4	1.11576	312.99
308.2	1.12197	312.978
308	1.05242	312.985
307.8	1.06537	312.99
307.6	1.0712	312.994
307.4	1.01734	313.007
307.2	1.02245	313.029
307	1.06867	313.048
306.8	1.06605	313.076
306.6	1.06058	313.111
306.4	1.11594	313.15
306.2	1.12821	313.186
306	1.13819	313.24
305.8	1.18095	313.31
305.6	1.2209	313.372
305.4	1.17257	313.444
305.2	1.15999	313.524
305	1.23085	313.611
304.8	1.27184	313.716
304.6	1.31649	313.825
304.4	1.33565	313.954
304.2	1.35508	314.081
304	1.31433	314.21
303.8	1.30281	314.374
303.6	1.32231	314.533
303.4	1.23294	314.701
303.2	1.09611	314.872
303	1.08527	315.044
302.8	1.09145	315.241
302.6	1.12451	315.428
302.4	1.18935	315.629
302.2	1.22768	315.821
302	1.22706	316.031
301.8	1.23825	316.254
301.6	1.28099	316.477
301.4	1.27252	316.72
301.2	1.27656	316.953
301	1.26152	317.202
300.8	1.23165	317.458
300.6	1.17348	317.734
300.4	1.1584	318.018
300.2	1.13597	318.301
300	1.17718	318.61
299.8	1.16272	318.933
299.6	1.11584	319.263
299.4	1.06479	319.605
299.2	1.05958	319.948
299	1.05194	320.303
298.8	1.09068	320.652
298.6	1.093	321.021
298.4	1.04785	321.391
298.2	1.08617	321.759
298	1.09503	322.14
297.8	1.04232	322.51
297.6	1.07804	322.893
297.4	1.02745	323.278
297.2	0.986839	323.683
297	1.00284	324.095
296.8	1.00634	324.502
296.6	0.953265	324.928
296.4	0.926307	325.37
