nm, A
700.000000, 0.064296
699.000000, 0.064422
698.000000, 0.064483
697.000000, 0.064619
696.000000, 0.064775
695.000000, 0.064916
694.000000, 0.065027
693.000000, 0.065178
692.000000, 0.065254
691.000000, 0.065279
690.000000, 0.065279
689.000000, 0.065380
688.000000, 0.065421
687.000000, 0.065436
686.000000, 0.065608
685.000000, 0.065608
684.000000, 0.065360
683.000000, 0.065522
682.000000, 0.065598
681.000000, 0.065805
680.000000, 0.065875
679.000000, 0.065921
678.000000, 0.065911
677.000000, 0.065941
676.000000, 0.065805
675.000000, 0.065961
674.000000, 0.065987
673.000000, 0.066073
672.000000, 0.066174
671.000000, 0.066260
670.000000, 0.066346
669.000000, 0.066467
668.000000, 0.066477
667.000000, 0.066599
666.000000, 0.066573
665.000000, 0.066568
664.000000, 0.066639
663.000000, 0.066685
662.000000, 0.066675
661.000000, 0.066710
660.000000, 0.066781
659.000000, 0.066923
658.000000, 0.066974
657.000000, 0.067110
656.000000, 0.067202
655.000000, 0.067181
654.000000, 0.067156
653.000000, 0.067186
652.000000, 0.067166
651.000000, 0.067141
650.000000, 0.067222
649.000000, 0.067232
648.000000, 0.067308
647.000000, 0.067404
646.000000, 0.067399
645.000000, 0.067455
644.000000, 0.067521
643.000000, 0.067557
642.000000, 0.067460
641.000000, 0.067572
640.000000, 0.067481
639.000000, 0.067470
638.000000, 0.067496
637.000000, 0.067501
636.000000, 0.067623
635.000000, 0.067678
634.000000, 0.067684
633.000000, 0.067709
632.000000, 0.067638
631.000000, 0.067587
630.000000, 0.067577
629.000000, 0.067612
628.000000, 0.067623
627.000000, 0.067709
626.000000, 0.067755
625.000000, 0.067750
624.000000, 0.067821
623.000000, 0.067775
622.000000, 0.067755
621.000000, 0.067668
620.000000, 0.067577
619.000000, 0.067582
618.000000, 0.067536
617.000000, 0.067541
616.000000, 0.067643
615.000000, 0.067653
614.000000, 0.067678
613.000000, 0.067633
612.000000, 0.067623
611.000000, 0.067567
610.000000, 0.067501
609.000000, 0.067486
608.000000, 0.067440
607.000000, 0.067552
606.000000, 0.067633
605.000000, 0.067709
604.000000, 0.067800
603.000000, 0.067892
602.000000, 0.067927
601.000000, 0.067998
600.000000, 0.067993
599.000000, 0.068125
598.000000, 0.068308
597.000000, 0.068542
596.000000, 0.068832
595.000000, 0.069138
594.000000, 0.069464
593.000000, 0.069775
592.000000, 0.070070
591.000000, 0.070479
590.000000, 0.070867
589.000000, 0.071287
588.000000, 0.071871
587.000000, 0.072460
586.000000, 0.073148
585.000000, 0.073791
584.000000, 0.074373
583.000000, 0.074977
582.000000, 0.075498
581.000000, 0.076041
580.000000, 0.076538
579.000000, 0.076984
578.000000, 0.077420
577.000000, 0.077820
576.000000, 0.078173
575.000000, 0.078423
574.000000, 0.078626
573.000000, 0.078771
572.000000, 0.078917
571.000000, 0.078985
570.000000, 0.079157
569.000000, 0.079209
