nm, A
700.000000, 0.007016
699.000000, 0.007074
698.000000, 0.007147
697.000000, 0.007221
696.000000, 0.007234
695.000000, 0.007277
694.000000, 0.007300
693.000000, 0.007323
692.000000, 0.007360
691.000000, 0.007427
690.000000, 0.007597
689.000000, 0.007573
688.000000, 0.007630
687.000000, 0.007779
686.000000, 0.007746
685.000000, 0.007818
684.000000, 0.007968
683.000000, 0.008053
682.000000, 0.008148
681.000000, 0.008229
680.000000, 0.008297
679.000000, 0.008401
678.000000, 0.008566
677.000000, 0.008571
676.000000, 0.008930
675.000000, 0.008778
674.000000, 0.009073
673.000000, 0.009224
672.000000, 0.009268
671.000000, 0.009606
670.000000, 0.009763
669.000000, 0.009978
668.000000, 0.010211
667.000000, 0.010401
666.000000, 0.010696
665.000000, 0.010971
664.000000, 0.011290
663.000000, 0.011613
662.000000, 0.011972
661.000000, 0.012494
660.000000, 0.012949
659.000000, 0.013382
658.000000, 0.014016
657.000000, 0.014492
656.000000, 0.015093
655.000000, 0.015760
654.000000, 0.016590
653.000000, 0.017203
652.000000, 0.018052
651.000000, 0.019003
650.000000, 0.019887
649.000000, 0.020934
648.000000, 0.021918
647.000000, 0.022916
646.000000, 0.024094
645.000000, 0.025074
644.000000, 0.026068
643.000000, 0.026960
642.000000, 0.028160
641.000000, 0.029018
640.000000, 0.030081
639.000000, 0.030886
638.000000, 0.031788
637.000000, 0.032526
636.000000, 0.033049
635.000000, 0.033558
634.000000, 0.033959
633.000000, 0.034213
632.000000, 0.034526
631.000000, 0.034714
630.000000, 0.034730
629.000000, 0.034716
628.000000, 0.034646
627.000000, 0.034582
626.000000, 0.034349
625.000000, 0.034239
624.000000, 0.033943
623.000000, 0.033769
622.000000, 0.033438
621.000000, 0.033102
620.000000, 0.032920
619.000000, 0.032472
618.000000, 0.032233
617.000000, 0.031884
616.000000, 0.031602
615.000000, 0.031308
614.000000, 0.031005
613.000000, 0.030756
612.000000, 0.030554
611.000000, 0.030267
610.000000, 0.030164
609.000000, 0.029908
608.000000, 0.029905
607.000000, 0.029695
606.000000, 0.029706
605.000000, 0.029625
604.000000, 0.029582
603.000000, 0.029567
602.000000, 0.029586
601.000000, 0.029661
600.000000, 0.029808
599.000000, 0.029915
598.000000, 0.030037
597.000000, 0.030272
596.000000, 0.030391
