nm, A
700.000000, 0.048599
699.000000, 0.048822
698.000000, 0.049230
697.000000, 0.049511
696.000000, 0.049824
695.000000, 0.050107
694.000000, 0.050478
693.000000, 0.050729
692.000000, 0.051067
691.000000, 0.051440
690.000000, 0.051889
689.000000, 0.052300
688.000000, 0.052681
687.000000, 0.053208
686.000000, 0.053647
685.000000, 0.054105
684.000000, 0.054730
683.000000, 0.055262
682.000000, 0.055835
681.000000, 0.056300
680.000000, 0.057013
679.000000, 0.057613
678.000000, 0.058386
677.000000, 0.059073
676.000000, 0.060120
675.000000, 0.060770
674.000000, 0.061840
673.000000, 0.062822
672.000000, 0.063879
671.000000, 0.065102
670.000000, 0.066311
669.000000, 0.067642
668.000000, 0.069219
667.000000, 0.070662
666.000000, 0.072436
665.000000, 0.074365
664.000000, 0.076451
663.000000, 0.078614
662.000000, 0.081150
661.000000, 0.083913
660.000000, 0.086733
659.000000, 0.089963
658.000000, 0.093341
657.000000, 0.096952
656.000000, 0.100852
655.000000, 0.105230
654.000000, 0.109729
653.000000, 0.114667
652.000000, 0.119907
651.000000, 0.125520
650.000000, 0.131210
649.000000, 0.137340
648.000000, 0.143612
647.000000, 0.150087
646.000000, 0.156794
645.000000, 0.163448
644.000000, 0.170040
643.000000, 0.176553
642.000000, 0.183074
641.000000, 0.189216
640.000000, 0.195128
639.000000, 0.200482
638.000000, 0.205443
637.000000, 0.209939
636.000000, 0.213618
635.000000, 0.216744
634.000000, 0.219297
633.000000, 0.221286
632.000000, 0.222745
631.000000, 0.223678
630.000000, 0.224087
629.000000, 0.224069
628.000000, 0.223693
627.000000, 0.223013
626.000000, 0.222153
625.000000, 0.221034
624.000000, 0.219572
623.000000, 0.218004
622.000000, 0.216392
621.000000, 0.214603
620.000000, 0.212719
619.000000, 0.210714
618.000000, 0.208721
617.000000, 0.206792
616.000000, 0.204832
615.000000, 0.202972
614.000000, 0.201152
613.000000, 0.199676
612.000000, 0.198074
611.000000, 0.196866
610.000000, 0.195720
609.000000, 0.194757
608.000000, 0.194049
607.000000, 0.193351
606.000000, 0.192866
605.000000, 0.192497
604.000000, 0.192390
603.000000, 0.192243
602.000000, 0.192500
601.000000, 0.192778
600.000000, 0.193337
599.000000, 0.194078
598.000000, 0.194881
597.000000, 0.195947
596.000000, 0.197097
595.000000, 0.198453
594.000000, 0.200037
593.000000, 0.201774
592.000000, 0.203740
591.000000, 0.205885
590.000000, 0.208197
589.000000, 0.210785
