nm, A
700.000000, 0.006188
699.000000, 0.006184
698.000000, 0.006282
697.000000, 0.006346
696.000000, 0.006394
695.000000, 0.006376
694.000000, 0.006464
693.000000, 0.006436
692.000000, 0.006504
691.000000, 0.006607
690.000000, 0.006689
689.000000, 0.006670
688.000000, 0.006778
687.000000, 0.006896
686.000000, 0.006827
685.000000, 0.006894
684.000000, 0.007126
683.000000, 0.007123
682.000000, 0.007217
681.000000, 0.007164
680.000000, 0.007366
679.000000, 0.007449
678.000000, 0.007587
677.000000, 0.007665
676.000000, 0.007879
675.000000, 0.007933
674.000000, 0.008078
673.000000, 0.008198
672.000000, 0.008406
671.000000, 0.008552
670.000000, 0.008719
669.000000, 0.008871
668.000000, 0.009150
667.000000, 0.009324
666.000000, 0.009618
665.000000, 0.009980
664.000000, 0.010205
663.000000, 0.010543
662.000000, 0.010901
661.000000, 0.011317
660.000000, 0.011798
659.000000, 0.012198
658.000000, 0.012689
657.000000, 0.013158
656.000000, 0.013741
655.000000, 0.014327
654.000000, 0.015118
653.000000, 0.015713
652.000000, 0.016564
651.000000, 0.017370
650.000000, 0.018239
649.000000, 0.019166
648.000000, 0.020024
647.000000, 0.021065
646.000000, 0.022088
645.000000, 0.023048
644.000000, 0.023994
643.000000, 0.024871
642.000000, 0.025941
641.000000, 0.026702
640.000000, 0.027685
639.000000, 0.028474
638.000000, 0.029241
637.000000, 0.029893
636.000000, 0.030467
635.000000, 0.030934
634.000000, 0.031349
633.000000, 0.031574
632.000000, 0.031777
631.000000, 0.031991
630.000000, 0.032034
629.000000, 0.031993
628.000000, 0.031934
627.000000, 0.031820
626.000000, 0.031622
625.000000, 0.031567
624.000000, 0.031321
623.000000, 0.031056
622.000000, 0.030831
621.000000, 0.030552
620.000000, 0.030295
619.000000, 0.029942
618.000000, 0.029683
617.000000, 0.029428
616.000000, 0.029034
615.000000, 0.028790
614.000000, 0.028483
613.000000, 0.028317
612.000000, 0.028030
611.000000, 0.027837
610.000000, 0.027735
609.000000, 0.027534
608.000000, 0.027482
607.000000, 0.027349
606.000000, 0.027322
605.000000, 0.027240
604.000000, 0.027203
603.000000, 0.027182
602.000000, 0.027211
601.000000, 0.027259
600.000000, 0.027470
599.000000, 0.027522
598.000000, 0.027674
597.000000, 0.027874
596.000000, 0.028078
595.000000, 0.028256
594.000000, 0.028495
593.000000, 0.028838
592.000000, 0.029142
591.000000, 0.029362
590.000000, 0.029777
589.000000, 0.030306
588.000000, 0.030744
587.000000, 0.031113
586.000000, 0.031551
585.000000, 0.032009
584.000000, 0.032470
583.000000, 0.033073
582.000000, 0.033494
581.000000, 0.033867
580.000000, 0.034171
579.000000, 0.034511
578.000000, 0.034963
577.000000, 0.035081
576.000000, 0.035235
575.000000, 0.035312
574.000000, 0.035380
573.000000, 0.035364
572.000000, 0.035320
571.000000, 0.035337
570.000000, 0.035278
569.000000, 0.035368
568.000000, 0.035268
567.000000, 0.035229
566.000000, 0.035181
565.000000, 0.035303
564.000000, 0.035396
563.000000, 0.035633
562.000000, 0.035706
561.000000, 0.036000
560.000000, 0.036167
559.000000, 0.036441
558.000000, 0.036717
557.000000, 0.037232
556.000000, 0.037747
555.000000, 0.038303
554.000000, 0.038995
553.000000, 0.039749
552.000000, 0.040434
551.000000, 0.041275
550.000000, 0.042091
549.000000, 0.042990
548.000000, 0.044126
547.000000, 0.044865
546.000000, 0.045853
545.000000, 0.046757
544.000000, 0.047573
543.000000, 0.048404
542.000000, 0.049200
541.000000, 0.049824
540.000000, 0.050495
539.000000, 0.051103
538.000000, 0.051576
537.000000, 0.052025
536.000000, 0.052409
535.000000, 0.052898
534.000000, 0.053164
533.000000, 0.053573
532.000000, 0.054028
531.000000, 0.054266
530.000000, 0.054619
529.000000, 0.054980
528.000000, 0.055278
527.000000, 0.055706
526.000000, 0.056142
525.000000, 0.056613
524.000000, 0.057115
523.000000, 0.057636
522.000000, 0.058145
521.000000, 0.058770
520.000000, 0.059195
519.000000, 0.059933
518.000000, 0.060530
517.000000, 0.061239
516.000000, 0.061857
515.000000, 0.062476
514.000000, 0.063089
513.000000, 0.063676
512.000000, 0.064199
511.000000, 0.064820
510.000000, 0.065497
509.000000, 0.065979
508.000000, 0.066653
507.000000, 0.067123
506.000000, 0.067444
505.000000, 0.067878
504.000000, 0.068272
503.000000, 0.068472
502.000000, 0.068794
501.000000, 0.068881
500.000000, 0.068889
499.000000, 0.068920
498.000000, 0.068931
497.000000, 0.068817
496.000000, 0.068552
495.000000, 0.068499
494.000000, 0.068168
493.000000, 0.067869
492.000000, 0.067553
491.000000, 0.067233
490.000000, 0.066945
489.000000, 0.066590
488.000000, 0.066184
487.000000, 0.065742
486.000000, 0.065378
485.000000, 0.065054
484.000000, 0.064609
483.000000, 0.064377
482.000000, 0.063904
481.000000, 0.063628
480.000000, 0.063350
479.000000, 0.063153
478.000000, 0.063074
477.000000, 0.062902
476.000000, 0.062824
475.000000, 0.062813
474.000000, 0.062827
473.000000, 0.063011
472.000000, 0.063068
471.000000, 0.063375
470.000000, 0.063546
469.000000, 0.063751
468.000000, 0.064118
467.000000, 0.064421
466.000000, 0.064971
465.000000, 0.065366
464.000000, 0.065855
463.000000, 0.066275
462.000000, 0.066796
461.000000, 0.067474
460.000000, 0.067931
459.000000, 0.068475
458.000000, 0.069050
457.000000, 0.069585
456.000000, 0.070254
455.000000, 0.070934
454.000000, 0.071586
453.000000, 0.072389
452.000000, 0.073234
451.000000, 0.074188
450.000000, 0.075419
449.000000, 0.076538
448.000000, 0.077761
447.000000, 0.079303
446.000000, 0.081271
445.000000, 0.083230
444.000000, 0.085257
443.000000, 0.087704
442.000000, 0.090196
441.000000, 0.093228
440.000000, 0.096625
439.000000, 0.100454
438.000000, 0.104560
437.000000, 0.109284
436.000000, 0.114590
435.000000, 0.120484
434.000000, 0.127406
433.000000, 0.135017
432.000000, 0.143596
431.000000, 0.153083
430.000000, 0.163835
429.000000, 0.176007
428.000000, 0.189313
427.000000, 0.204772
426.000000, 0.221778
425.000000, 0.241354
424.000000, 0.263409
423.000000, 0.288248
422.000000, 0.315798
421.000000, 0.346267
420.000000, 0.380594
419.000000, 0.419058
418.000000, 0.461587
417.000000, 0.508266
416.000000, 0.559225
415.000000, 0.614024
414.000000, 0.671873
413.000000, 0.731078
412.000000, 0.790608
411.000000, 0.847725
410.000000, 0.900231
409.000000, 0.946198
408.000000, 0.983154
407.000000, 1.009699
406.000000, 1.024369
405.000000, 1.027128
404.000000, 1.019009
403.000000, 1.000515
402.000000, 0.973943
401.000000, 0.940561
400.000000, 0.902846
399.000000, 0.862521
398.000000, 0.821164
397.000000, 0.779789
396.000000, 0.740294
395.000000, 0.702810
394.000000, 0.668340
393.000000, 0.636553
392.000000, 0.608144
391.000000, 0.582605
390.000000, 0.559565
389.000000, 0.538800
388.000000, 0.519589
387.000000, 0.501990
386.000000, 0.485177
385.000000, 0.468838
384.000000, 0.453134
383.000000, 0.437655
382.000000, 0.422808
381.000000, 0.408880
380.000000, 0.395111
379.000000, 0.381684
378.000000, 0.369454
377.000000, 0.357801
376.000000, 0.347447
375.000000, 0.337814
374.000000, 0.328759
373.000000, 0.321013
372.000000, 0.314138
371.000000, 0.307876
370.000000, 0.302303
369.000000, 0.297111
368.000000, 0.292573
367.000000, 0.288365
366.000000, 0.284510
365.000000, 0.280614
364.000000, 0.277152
363.000000, 0.273476
362.000000, 0.269918
361.000000, 0.266318
360.000000, 0.262722
359.000000, 0.259086
358.000000, 0.255087
357.000000, 0.251315
356.000000, 0.247359
355.000000, 0.243271
354.000000, 0.239161
353.000000, 0.235067
352.000000, 0.231092
351.000000, 0.227167
350.000000, 0.223010
349.000000, 0.219158
348.000000, 0.215284
347.000000, 0.211177
346.000000, 0.207555
345.000000, 0.203773
344.000000, 0.200116
343.000000, 0.196224
342.000000, 0.192787
341.000000, 0.189344
340.000000, 0.185673
339.000000, 0.182146
338.000000, 0.178537
337.000000, 0.175203
336.000000, 0.171848
335.000000, 0.168462
334.000000, 0.165210
333.000000, 0.161801
332.000000, 0.158447
331.000000, 0.155392
330.000000, 0.152540
329.000000, 0.149468
328.000000, 0.146349
327.000000, 0.138470
326.000000, 0.132639
325.000000, 0.130038
324.000000, 0.127694
323.000000, 0.125046
322.000000, 0.123070
321.000000, 0.121009
320.000000, 0.119169
319.000000, 0.117352
318.000000, 0.115629
317.000000, 0.113904
316.000000, 0.112563
315.000000, 0.111300
314.000000, 0.110400
